UTR-2 one section northern sky survey. Averaged observational data at URAN-2, sections No. 5 and 6 of the southern UTR-2 antenna.

  RA2000(h)      DEC2000(deg)     T25(kK)          T20(kK)        T16.7(kK)       T14.7(kK)      

    4.00	   -11.00	  19.843	   22.402	   42.066	   44.155	  	 
    4.50	   -11.00	  21.126	   21.512	   39.783	   43.706	  	 
    5.00	   -11.00	  21.602	   21.771	   41.263	   44.418	   	 
    5.50	   -11.00	  21.895	   23.409	   42.949	   45.646	   	 
    6.00	   -11.00	  24.009	   26.448	   47.963	   50.519	  	 
    6.50	   -11.00	  23.912	   30.457	   57.368	   59.962	  	 
    7.00	   -11.00	  24.548	   32.132	   61.775	   63.041	  	 
    7.50	   -11.00	  23.610	   30.097	   55.568	   58.255	  	 
    8.00	   -11.00	  20.211	   24.744	   46.728	   48.746	  	 
    8.50	   -11.00	  17.955	   20.365	   38.672	   40.643	   	 
    9.00	   -11.00	  17.315	   18.415	   33.554	   35.775	   	 
    9.50	   -11.00	  18.308	   19.187	   34.544	   36.558	   	 
   10.00	   -11.00	  18.520	   19.863	   35.830	   37.620	   	 
   10.50	   -11.00	  19.292	   21.149	   38.592	   41.929	   	 
   11.00	   -11.00	  19.497	   23.115	   41.537	   42.892	   	 
   11.50	   -11.00	  20.178	   25.192	   43.234	   44.436	   	 
   12.00	   -11.00	  21.627	   24.545	   45.292	   47.488	   	 
   12.50	   -11.00	  22.450	   26.673	   50.189	   51.971	  	 
   13.00	   -11.00	  22.110	   26.537	   50.116	   52.188	  	 
   13.50	   -11.00	  20.795	   25.698	   48.014	   50.463	  	 
   14.00	   -11.00	  21.803	   27.085	   51.563	   53.644	  	 
   14.50	   -11.00	  23.249	   29.043	   57.300	   59.740	  	 
   15.00	   -11.00	  23.889	   32.205	   65.529	   68.212	  	 
   15.50	   -11.00	  24.449	   34.220	   68.555	   70.264	  	 
   16.00	   -11.00	  24.048	   35.409	   66.392	   79.270	  	 
   16.50	   -11.00	  26.177	   35.122	   67.073	   81.648	  	 
   17.00	   -11.00	  28.494	   42.893	   90.286	  103.610	  	 
   17.50	   -11.00	  33.919	   59.519	  131.034	  164.425	  	 
   18.00	   -11.00	  44.223	   79.835	  171.386	  201.217	  	 
   18.50	   -11.00	  49.172	   83.923	  178.287	  201.050	  	 
   19.00	   -11.00	  49.405	   89.144	  182.367	  193.493	  	 
   19.50	   -11.00	  37.860	   69.580	  149.301	  178.649	  	 
   20.00	   -11.00	  34.355	   60.859	  135.094	  155.632	  	 
   20.50	   -11.00	  29.699	   45.992	  104.153	  134.835	  	 
   21.00	   -11.00	  30.446	   38.344	   72.363	  101.254	  	 
   21.50	   -11.00	  28.345	   35.123	   66.674	   95.721	  	 
   22.00	   -11.00	  25.117	   31.086	   64.434	   85.776	  	 
   22.50	   -11.00	  24.594	   28.023	   57.704	   88.715	  	 
   23.00	   -11.00	  23.469	   26.534	   51.778	   73.010	  	 
   23.50	   -11.00	  23.707	   26.586	   52.783	   66.325	  	 
    0.00	    -9.00	  20.789	   24.888	   46.936	   54.978	  	 
    0.50	    -9.00	  20.093	   25.141	   47.430	   52.503	  	 
    1.00	    -9.00	  21.565	   25.649	   47.645	   50.912	  	 
    1.50	    -9.00	  21.226	   25.911	   47.893	   51.507	  	 
    2.00	    -9.00	  21.834	   26.349	   48.987	   50.804	  	 
    2.50	    -9.00	  20.037	   25.620	   50.261	   49.468	  	 
    3.00	    -9.00	  19.300	   24.146	   46.597	   48.513	  	 
    3.50	    -9.00	  19.302	   23.895	   45.020	   50.288	  	 
    4.00	    -9.00	  19.058	   23.057	   42.812	   46.358	  	 
    4.50	    -9.00	  20.811	   22.790	   41.334	   45.812	  	 
    5.00	    -9.00	  21.107	   23.105	   42.894	   47.174	   	 
    5.50	    -9.00	  21.627	   24.577	   44.842	   48.103	   	 
    6.00	    -9.00	  23.421	   27.812	   49.867	   52.796	  	 
    6.50	    -9.00	  24.806	   32.244	   61.085	   63.072	  	 
    7.00	    -9.00	  24.992	   33.604	   64.643	   65.841	  	 
    7.50	    -9.00	  23.625	   30.693	   56.531	   60.103	  	 
    8.00	    -9.00	  20.342	   25.188	   46.889	   49.921	  	 
    8.50	    -9.00	  17.904	   20.691	   38.660	   41.221	   	 
    9.00	    -9.00	  17.360	   18.439	   33.276	   36.020	   	 
    9.50	    -9.00	  18.177	   19.382	   34.363	   36.858	   	 
   10.00	    -9.00	  18.680	   19.967	   35.082	   37.954	   	 
   10.50	    -9.00	  19.657	   21.109	   38.159	   42.506	   	 
   11.00	    -9.00	  19.691	   22.935	   41.286	   43.420	   	 
   11.50	    -9.00	  20.457	   25.185	   43.723	   45.674	  	 
   12.00	    -9.00	  21.810	   25.330	   46.101	   48.390	  	 
   12.50	    -9.00	  22.934	   28.038	   52.485	   54.164	  	 
   13.00	    -9.00	  22.556	   27.448	   51.817	   53.520	  	 
   13.50	    -9.00	  21.472	   26.562	   49.799	   51.728	  	 
   14.00	    -9.00	  22.224	   27.728	   52.775	   54.224	  	 
   14.50	    -9.00	  23.267	   29.972	   58.224	   60.191	  	 
   15.00	    -9.00	  24.101	   32.532	   65.723	   67.846	  	 
   15.50	    -9.00	  24.034	   34.038	   69.297	   69.801	  	 
   16.00	    -9.00	  24.919	   36.094	   68.941	   74.927	  	 
   16.50	    -9.00	  25.961	   35.946	   68.664	   78.759	  	 
   17.00	    -9.00	  28.090	   44.561	   90.731	  116.351	  	 
   17.50	    -9.00	  33.585	   61.538	  130.423	  168.780	  	 
   18.00	    -9.00	  44.356	   83.059	  173.379	  204.840	  	 
   18.50	    -9.00	  51.217	   89.710	  178.048	  198.187	  	 
   19.00	    -9.00	  50.997	   94.644	  183.627	  194.139	  	 
   19.50	    -9.00	  40.479	   73.100	  154.514	  180.045	  	 
   20.00	    -9.00	  33.717	   60.569	  136.043	  158.221	  	 
   20.50	    -9.00	  28.414	   47.384	  104.719	  131.052	  	 
   21.00	    -9.00	  29.243	   38.931	   75.912	  103.284	  	 
   21.50	    -9.00	  27.027	   37.020	   70.485	   93.821	  	 
   22.00	    -9.00	  23.058	   32.218	   65.244	   80.906	  	 
   22.50	    -9.00	  22.559	   28.885	   57.028	   86.864	  	 
   23.00	    -9.00	  22.403	   27.833	   52.175	   71.771	  	 
   23.50	    -9.00	  21.763	   26.668	   51.523	   59.603	  	 
    0.00	    -7.00	  19.263	   24.994	   47.145	   52.060	  	 
    0.50	    -7.00	  18.927	   25.428	   47.258	   51.949	  	 
    1.00	    -7.00	  20.505	   26.389	   48.179	   51.630	  	 
    1.50	    -7.00	  20.176	   26.817	   48.925	   52.228	  	 
    2.00	    -7.00	  20.486	   26.848	   49.790	   52.591	  	 
    2.50	    -7.00	  19.251	   26.123	   53.550	   51.865	  	 
    3.00	    -7.00	  18.215	   25.132	   49.842	   51.680	  	 
    3.50	    -7.00	  18.475	   24.801	   46.015	   51.155	  	 
    4.00	    -7.00	  17.899	   23.482	   42.701	   47.634	  	 
    4.50	    -7.00	  18.719	   23.581	   41.764	   47.944	  	 
    5.00	    -7.00	  19.004	   24.268	   43.826	   49.277	  	 
    5.50	    -7.00	  20.620	   25.770	   46.793	   50.235	  	 
    6.00	    -7.00	  22.476	   28.625	   50.829	   54.499	  	 
    6.50	    -7.00	  23.995	   33.759	   62.978	   65.497	  	 
    7.00	    -7.00	  23.830	   34.395	   65.561	   67.855	  	 
    7.50	    -7.00	  21.728	   30.788	   56.663	   61.714	  	 
    8.00	    -7.00	  19.288	   25.312	   46.405	   50.656	  	 
    8.50	    -7.00	  16.946	   20.700	   38.023	   41.505	  	 
    9.00	    -7.00	  16.104	   18.316	   32.714	   36.150	  	 
    9.50	    -7.00	  16.736	   19.406	   33.702	   37.189	  	 
   10.00	    -7.00	  17.461	   19.917	   34.459	   38.219	  	 
