UTR-2 one section northern sky survey. Averaged observational data at sections No. 5 and 6 of the southern UTR-2 antenna.

  RA2000(h)      DEC2000(deg)     T25(kK)          T20(kK)        T16.7(kK)       T14.7(kK)      T12.6(kK)        T10(kK)

   22.00	   -13.00	  30.334	   35.471	   81.317	  132.901	  360.366	  812.094	 
   22.50	   -13.00	  27.959	   31.372	   77.071	  123.164	  309.788	  538.939	 
   23.00	   -13.00	  24.890	   27.402	   56.994	   99.722	  241.902	  514.223	 
   23.50	   -13.00	  25.603	   25.992	   49.069	   72.682	  196.384	  373.184	 
    0.00	   -11.00	  22.945	   25.338	   46.550	   63.560	  144.132	  293.112	 
    0.50	   -11.00	  21.344	   25.506	   44.837	   63.365	  132.708	  254.749	 
    1.00	   -11.00	  24.096	   25.678	   44.357	   58.516	  125.133	  239.765	 
    1.50	   -11.00	  22.818	   25.114	   44.308	   57.006	  126.036	  238.614	 
    2.00	   -11.00	  23.747	   27.443	   47.629	   57.252	  125.280	  252.335	 
    2.50	   -11.00	  22.349	   26.606	   48.910	   55.628	  128.322	  247.828	 
    3.00	   -11.00	  21.145	   22.805	   45.356	   54.981	  123.116	  288.035	 
    3.50	   -11.00	  20.698	   23.518	   48.634	   63.875	  130.475	  284.580	 
    4.00	   -11.00	  18.911	   24.168	   47.074	   58.798	  124.039	  258.900	 
    4.50	   -11.00	  21.781	   22.380	   40.905	   57.147	  114.873	  206.383	 
    5.00	   -11.00	  22.154	   21.901	   41.847	   56.857	  104.052	  190.084	 
    5.50	   -11.00	  22.043	   23.616	   44.148	   58.907	  105.084	  203.068	 
    6.00	   -11.00	  24.676	   27.074	   47.911	   64.466	  118.913	  228.386	 
    6.50	   -11.00	  22.240	   29.769	   54.381	   71.464	  119.123	  247.674	 
    7.00	   -11.00	  21.891	   30.809	   59.532	   73.167	  118.869	  274.949	 
    7.50	   -11.00	  20.926	   28.678	   52.451	   64.332	  114.062	  261.865	 
    8.00	   -11.00	  16.825	   22.927	   42.454	   53.066	  105.749	  227.888	 
    8.50	   -11.00	  14.645	   18.352	   36.095	   45.015	   93.290	  192.459	 
    9.00	   -11.00	  14.312	   17.433	   32.687	   40.685	   83.503	  177.666	 
    9.50	   -11.00	  15.322	   17.623	   32.267	   39.090	   79.234	  172.629	 
   10.00	   -11.00	  15.342	   18.217	   33.885	   41.152	   80.625	  180.776	 
   10.50	   -11.00	  16.355	   19.733	   37.228	   48.788	   86.363	  211.231	 
   11.00	   -11.00	  16.525	   22.597	   42.118	   50.979	   85.426	  220.437	 
   11.50	   -11.00	  16.433	   23.354	   41.078	   48.143	   86.839	  224.120	 
   12.00	   -11.00	  17.714	   21.815	   40.159	   48.358	   84.383	  214.579	 
   12.50	   -11.00	  17.821	   22.664	   42.817	   50.027	   87.559	  218.460	 
   13.00	   -11.00	  17.073	   23.282	   43.401	   51.343	   94.144	  222.764	 
   13.50	   -11.00	  16.318	   23.401	   43.976	   52.677	  104.398	  225.261	 
   14.00	   -11.00	  17.597	   24.491	   47.368	   56.522	  120.110	  240.783	 
   14.50	   -11.00	  19.275	   26.215	   52.336	   64.645	  130.590	  271.499	 
   15.00	   -11.00	  19.552	   29.353	   62.311	   75.528	  137.900	  298.666	 
   15.50	   -11.00	  20.179	   32.724	   68.927	   77.428	  126.795	  303.433	 
   16.00	   -11.00	  20.375	   35.161	   64.053	   72.613	  122.823	  263.904	 
   16.50	   -11.00	  24.055	   34.768	   60.975	   77.659	  140.477	  295.703	 
   17.00	   -11.00	  24.580	   39.602	   79.199	  100.139	  189.491	  417.357	 
   17.50	   -11.00	  28.388	   56.204	  119.819	  146.146	  273.916	  624.865	 
   18.00	   -11.00	  35.988	   73.970	  157.816	  208.762	  406.501	  866.414	 
   18.50	   -11.00	  44.592	   90.445	  178.494	  265.197	  491.028	 1008.433	 
   19.00	   -11.00	  48.688	   97.782	  191.269	  294.030	  557.106	 1101.733	 
   19.50	   -11.00	  38.850	   91.372	  208.681	  327.108	  618.699	 1174.792	 
   20.00	   -11.00	  39.098	   93.351	  231.918	  333.732	  648.359	 1159.753	 
   20.50	   -11.00	  34.449	   65.981	  173.281	  279.379	  551.933	 1155.366	 
   21.00	   -11.00	  36.920	   47.954	   92.495	  169.664	  436.309	 1001.052	 
   21.50	   -11.00	  32.297	   41.859	   82.121	  146.860	  425.859	  933.611	 
   22.00	   -11.00	  26.784	   36.509	   82.993	  125.455	  332.952	  721.335	 
   22.50	   -11.00	  27.546	   32.409	   70.233	  110.120	  280.862	  562.910	 
   23.00	   -11.00	  24.909	   27.508	   55.985	   89.625	  234.187	  491.630	 
   23.50	   -11.00	  24.040	   25.163	   49.512	   71.529	  188.431	  371.349	 
    0.00	    -9.00	  20.386	   24.598	   45.807	   61.805	  135.641	  281.064	 
    0.50	    -9.00	  18.820	   24.662	   45.454	   62.487	  133.282	  247.260	 
    1.00	    -9.00	  21.177	   25.375	   45.443	   59.577	  123.281	  240.992	 
    1.50	    -9.00	  20.155	   25.061	   44.895	   57.759	  124.582	  243.136	 
    2.00	    -9.00	  21.725	   26.335	   47.930	   58.184	  123.231	  249.019	 
    2.50	    -9.00	  18.774	   26.251	   52.611	   57.622	  124.012	  257.491	 
    3.00	    -9.00	  18.009	   24.294	   48.918	   59.007	  118.108	  281.673	 
    3.50	    -9.00	  18.326	   24.767	   48.956	   65.158	  122.864	  278.633	 
    4.00	    -9.00	  18.124	   24.277	   47.322	   60.831	  123.652	  245.272	 
    4.50	    -9.00	  21.613	   23.474	   42.850	   58.152	  111.078	  198.983	 
    5.00	    -9.00	  21.252	   23.021	   43.129	   58.865	  101.651	  184.435	 
    5.50	    -9.00	  21.437	   24.344	   45.436	   59.846	  104.461	  198.011	 
    6.00	    -9.00	  23.653	   28.488	   50.971	   67.357	  117.879	  222.691	 
    6.50	    -9.00	  23.591	   30.891	   59.412	   73.969	  122.498	  249.835	 
    7.00	    -9.00	  22.558	   31.588	   63.440	   75.700	  121.467	  276.792	 
    7.50	    -9.00	  21.248	   28.989	   54.342	   66.119	  114.837	  258.003	 
    8.00	    -9.00	  17.549	   23.328	   43.697	   54.275	  103.113	  229.229	 
    8.50	    -9.00	  14.822	   18.539	   37.099	   45.717	   93.612	  190.412	 
    9.00	    -9.00	  14.575	   17.300	   32.938	   40.761	   83.981	  178.051	 
    9.50	    -9.00	  15.282	   17.569	   32.314	   39.006	   76.769	  168.986	 
   10.00	    -9.00	  15.667	   18.141	   32.991	   41.159	   79.877	  174.133	 
   10.50	    -9.00	  16.872	   19.204	   36.608	   49.002	   83.813	  202.042	 
   11.00	    -9.00	  16.848	   22.204	   41.949	   50.774	   84.756	  212.877	 
   11.50	    -9.00	  16.663	   23.319	   42.240	   49.964	   85.022	  215.791	 
   12.00	    -9.00	  17.996	   23.072	   42.307	   50.593	   86.731	  215.341	 
   12.50	    -9.00	  18.082	   24.184	   45.529	   52.918	   90.263	  219.745	 
   13.00	    -9.00	  18.006	   24.863	   46.805	   54.272	   96.073	  226.314	 
   13.50	    -9.00	  17.332	   24.939	   47.567	   54.743	  105.414	  230.107	 
   14.00	    -9.00	  18.243	   25.179	   50.009	   57.646	  116.597	  240.566	 
   14.50	    -9.00	  19.438	   27.441	   54.581	   65.031	  127.250	  269.825	 
   15.00	    -9.00	  20.025	   29.467	   63.363	   75.056	  132.366	  292.281	 
   15.50	    -9.00	  19.957	   32.278	   71.617	   78.079	  125.186	  293.026	 
   16.00	    -9.00	  22.032	   35.435	   67.946	   74.479	  123.417	  284.042	 
   16.50	    -9.00	  23.749	   35.563	   64.384	   80.307	  139.517	  324.249	 
   17.00	    -9.00	  24.208	   41.484	   82.584	  104.705	  192.366	  433.390	 
   17.50	    -9.00	  28.426	   57.314	  124.712	  154.392	  258.291	  609.359	 
   18.00	    -9.00	  36.509	   75.363	  164.026	  209.306	  379.163	  856.963	 
   18.50	    -9.00	  46.374	   90.629	  183.144	  256.096	  457.523	 1013.999	 
   19.00	    -9.00	  48.892	  100.169	  196.661	  291.236	  515.642	 1166.606	 
   19.50	    -9.00	  43.526	   90.141	  211.075	  328.399	  571.597	 1164.334	 
   20.00	    -9.00	  37.514	   85.620	  224.965	  345.322	  604.987	 1152.949	 
   20.50	    -9.00	  31.952	   65.162	  169.373	  274.664	  576.167	 1144.683	 
   21.00	    -9.00	  35.095	   46.755	   97.060	  177.656	  469.033	 1134.101	 
   21.50	    -9.00	  29.961	   43.669	   86.001	  147.810	  381.106	  920.845	 
   22.00	    -9.00	  23.344	   37.621	   82.312	  115.655	  295.311	  661.853	 
   22.50	    -9.00	  24.469	   33.221	   66.453	  102.103	  242.732	  487.427	 
   23.00	    -9.00	  23.643	   28.477	   53.372	   82.247	  213.101	  464.058	 
   23.50	    -9.00	  21.628	   25.591	   47.376	   63.535	  166.264	  351.525	 
